"SVC_GRP_NR","SVC_GRP_SUF_NR","NVP_BID_NR","TRG_PSE_SVC_ID","SVC_FEA_TYP_CD","SVC_FEA_TYP_DSC_TE","PKG_CHA_TYP_CD","PKG_CHA_TYP_DSC_TE","SVC_TYP_CD","SVC_TYP_CD_DSC_TE","CPE_CRR_NR","CRR_ABR_NA","CPE_CRR_FUL_NA","BID_CPE_DTL_CD","CPE_PDC_NR","CPE_PDC_ABR_DSC_TE","CPE_PDC_DSC_TE","CCY_CD","CCY_NA","BID_UPS_PJT_WVL_QY","BID_CUS_PRR_WVL_QY","UPS_PRJ_GRS_RPP_A","BID_MRG_CPP_A","SVC_GRP_CUS_NCV_A","SVC_GRP_PSE_NCV_PR","CPE_SVC_RPP_A","BID_FA_CPP_A","SVC_EFF_DT","SVC_END_DT","NVP_ETM_CMC_WK_PR","CUS_PRR_NCV_PR","AVG_PKG_WGT_QY","CPE_GRS_RPP_A","CPE_NET_RPP_A","LOS_PKG_AVG_QY","PDC_AVG_ZN_QY","RA_TRI_DER_AVG_QY","RA_TRI_AVG_QY","SMT_PKG_AVG_SMP_QY","SMT_TOT_AVG_QY","SMT_WGT_AVG_QY","WGT_MS_UNT_TYP_CD","PCN_SUB_MTH_TYP_CD","NVP_BID_FRT_GRR_A","MVM_DRC_CD","CU_SMP_AVG_WGT_QY","CU_SMP_AVG_NR","CALC_CUBE_PACKAGE_DENSITY"
"ACCRVHD","00","I930000891","EXPDPKGALL","ALL","                    ","PKG","                    ","XPD","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.3747,-0.0001,216.5067,32.02991,0,0,0,40.170458,07-OCT-17,24-AUG-47,0.9881,0,,,,,,,,,,,"LB","T",217.131,"E",11.08,1.501646,7.3786
"ACCRVHE","00","I930000891","IXPRDOCALL","ALL","                    ","DOC","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.6096,0,110.5585,12.744525,0,0,0,15.112865,07-OCT-17,24-AUG-47,0.8871,0,,,,,,,,,,,"LB","T",111.2472,"I",1.83871,0.215133,8.5469
"ACCRVHF","00","I930000891","IXPRLTRALL","ALL","                    ","LTR","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.8835,0,54.772,9.277606,0,0,0,11.567227,07-OCT-17,24-AUG-47,0.96,0,,,,,,,,,,,"LB","T",54.995,"I",0,0.001,0
"ACCRVHG","00","I930000891","IXPRPKGALL","ALL","                    ","PKG","                    ","XPR","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.6308,0,107.72,15.984753,0,0,0,19.014029,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",107.72,"I",2,0.22601,8.8492
"ACCRVHH","00","I930000891","EWXSDOCALL","ALL","                    ","DOC","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.5779,0,140.4654,12.854973,0,0,0,16.031188,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",140.4654,"E",1.95,0.227425,8.5743
"ACCRVHI","00","I930000891","EWXSLTRALL","ALL","                    ","LTR","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.9843,0,61.2673,10.917317,0,0,0,12.730376,07-OCT-17,24-AUG-47,0.99,0,,,,,,,,,,,"LB","T",61.3073,"E",0,0.001,0
"ACCRVHJ","00","I930000891","EWXSPKGALL","ALL","                    ","PKG","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.2319,0,349.9349,48.736331,0,0,0,62.200939,07-OCT-17,24-AUG-47,0.9875,0,,,,,,,,,,,"LB","T",350.1206,"E",9.98,1.418092,7.0376
"ACCRVHK","00","I930000891","EWXSPKGAGC","AGC","                    ","PKG","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.51,0,261.4566,33.920017,0,0,0,37.804426,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",261.4566,"E",7.12,0.99375,7.1648
"ACCRVHL","00","I930000891","IWXSDOCALL","ALL","                    ","DOC","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.5892,0,115.3232,14.100074,0,0,0,17.096997,07-OCT-17,24-AUG-47,1,0,,,,,,,,,,,"LB","T",115.3862,"I",1.89,0.231026,8.1809
"ACCRVHM","00","I930000891","IWXSLTRALL","ALL","                    ","LTR","                    ","WXS","                    ","000016","FEDEX ","                    ","2","0000","                    ","                    ","USD","                    ",0.8429,0.0001,59.3005,10.110312,0,0,0,13.258207,07-OCT-17,24-AUG-47,0.98,0,,,,,,,,,,,"LB","T",59.4015,"I",0,0.001,0
